column,dtype,non_null,nulls,unique
stock,object,17511,0,4422
enddate,datetime64[ns],17511,0,255
accountspayable,float64,16415,1096,14819
inventory,float64,9640,7871,8867
longtermdebt,float64,11222,6289,10746
netreceivables,float64,14544,2967,13691
nettangibleassets,float64,17351,160,17089
longterminvestments,float64,7499,10012,6874
totalcurrentassets,float64,17331,180,16999
propertyplantequipment,float64,15768,1743,14905
otherstockholderequity,float64,12046,5465,9878
deferredlongtermassetcharges,float64,6055,11456,5215
totalcurrentliabilities,float64,17316,195,16830
cash,float64,16929,582,15816
otherassets,float64,15863,1648,13772
treasurystock,float64,12972,4539,11239
goodwill,float64,9663,7848,7307
otherliab,float64,14222,3289,13079
retainedearnings,float64,16091,1420,15882
othercurrentassets,float64,11209,6302,9404
commonstock,float64,16329,1182,7264
totalassets,float64,17339,172,17179
othercurrentliab,float64,13304,4207,11837
deferredlongtermliab,float64,2632,14879,2235
totalstockholderequity,float64,17354,157,17100
totalliab,float64,17326,185,17087
capitalsurplus,float64,14489,3022,14068
intangibleassets,float64,11238,6273,10234
shortterminvestments,float64,3858,13653,3592
shortlongtermdebt,float64,5435,12076,4282
minorityinterest,float64,4405,13106,3732
