,leverage,equity_to_assets,current_ratio,quick_ratio,wc_to_assets,cash_to_assets,recv_to_assets,inv_to_assets,ppe_to_assets,re_to_assets,asset_growth
count,17315.0,17339.0,17305.0,17316.0,17305.0,16929.0,14544.0,9640.0,15768.0,16076.0,12961.0
mean,0.8713186596729828,0.019455444622947973,4.514191241900236,2.5003611880373207,-0.147117542554855,0.16419708447845982,0.11799855958285817,0.11015596115100598,0.236377943888766,-1.5387403214332882,42.581663851310395
std,27.69061245039934,27.731530153486514,73.88328073622944,14.340187324396114,27.694147652743567,0.22201655164075956,0.13476930765264053,0.1317559870704782,0.2750067289597224,22.521299907792656,4308.442774613148
min,0.0003907968606812515,-3604.731707317073,0.00027733621943382825,0.0,-3604.731707317073,9.564881696350456e-09,1.1874103293163807e-06,2.8283041108427313e-06,6.866191656988606e-06,-2293.6951219512193,-0.9513429421337674
1%,0.017041609905321265,-2.4896548475910105,0.025990486008760187,0.010792815932269594,-0.8648550729865345,0.0003719567692782658,0.0007314492290119163,6.416505428533502e-05,0.0009726912418890517,-23.604824182289995,-0.5377736551963409
5%,0.10221414663799921,-0.25935663001827286,0.05988600420032065,0.030812980287082015,-0.7915584531118405,0.00321871449326768,0.004135778484005979,0.00046952287438785053,0.004640636204470503,-6.411711047008717,-0.25286172222911396
25%,0.3538010802470519,0.16920386224071549,0.9510082283756756,0.4938001067432921,-0.006425223559122741,0.022548057705585232,0.027010230433030462,0.010782928664853354,0.029381064678207277,-0.6059158320509087,-0.021816923527101517
50%,0.5603136792171319,0.4040057039149598,1.734744920683866,1.0554958815869293,0.12294225241703684,0.07293275445311828,0.08008298688393284,0.06820338321671407,0.11130028919403553,0.021849630003145916,0.05763735537814019
75%,0.7833717279793357,0.6238992647329926,3.2478697332936846,1.9633853599296067,0.36792766438401703,0.2012950720644939,0.1585039472296876,0.1577887042560899,0.35035888563534134,0.21909185459245686,0.20479626269593587
95%,1.0378113954197867,0.8890937412865333,11.260168886035954,7.400847333417772,0.8070119412540431,0.7282148176829162,0.3666117171206982,0.37064847480088836,0.8565040053267199,0.6757080019989632,1.2086798606478393
99%,2.094994060291836,0.9847078365965652,32.490904574097236,24.926047149283146,0.9297678815228579,0.9651817338529519,0.7221373342384095,0.6270192817683814,0.9408246435745006,1.0985236945944652,5.689979309358288
max,3605.731707317073,1.830201702584554,8912.147176363389,1342.5385448245993,0.999887793594494,1.0,0.9948220455781828,0.9000723239392239,0.9912646244922076,7.239587303315729,488934.0975609756
